Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
128,1.6674,0.5778,1.3764,0.6662
129,1.6582,0.5745,1.3507,0.6667
130,1.648,0.5828,1.322,0.6651
131,1.6152,0.5886,1.3545,0.661
132,1.5956,0.5835,1.328,0.6626
133,1.5917,0.5929,1.3209,0.6677
134,1.5872,0.5968,1.3134,0.6641
135,1.5884,0.598,1.3012,0.6651
136,1.5719,0.5931,1.2805,0.6769
137,1.5491,0.6072,1.2806,0.6733
138,1.5486,0.6029,1.2668,0.6908
139,1.5265,0.6012,1.2268,0.6985
140,1.5064,0.6035,1.2424,0.6867
141,1.5037,0.6152,1.2268,0.6851
142,1.4733,0.6142,1.2274,0.6938
143,1.4788,0.6225,1.2472,0.6964
144,1.4767,0.6155,1.1976,0.6979
145,1.4504,0.6214,1.2053,0.6944
146,1.4444,0.6268,1.1804,0.7067
147,1.442,0.6302,1.1821,0.7015
148,1.4174,0.6369,1.1386,0.7205
149,1.4214,0.6332,1.1388,0.7077
150,1.396,0.6335,1.153,0.7118
151,1.3949,0.6402,1.1922,0.7005
152,1.385,0.642,1.1481,0.6964
153,1.3622,0.6431,1.1444,0.7005
154,1.3537,0.644,1.0994,0.7267
155,1.3458,0.6474,1.1147,0.7174
156,1.3463,0.6472,1.1055,0.7323
157,1.3325,0.6518,1.109,0.7221
158,1.3273,0.6558,1.048,0.7421
159,1.303,0.6595,1.0769,0.7323
160,1.3007,0.6646,1.0695,0.7313
161,1.3035,0.6575,1.0576,0.7303
162,1.2831,0.6675,1.0437,0.7323
163,1.2929,0.6648,1.0282,0.7436
164,1.254,0.6662,1.0431,0.7333
165,1.2441,0.6775,1.06,0.7292
166,1.2479,0.6752,1.0193,0.7487
167,1.2336,0.6771,1.0184,0.7431
168,1.2245,0.6789,0.9867,0.7467
169,1.2214,0.6814,0.9995,0.7462
170,1.2137,0.6806,1.0007,0.7508
171,1.2221,0.6792,0.992,0.7544
172,1.2048,0.6849,1.014,0.7421
173,1.1968,0.6835,0.981,0.7513
174,1.181,0.6932,0.9746,0.7446
175,1.1762,0.6952,0.9523,0.7621
176,1.1563,0.7012,0.9594,0.7549
177,1.1526,0.6968,0.965,0.7544
178,1.1451,0.7049,0.9167,0.7672
179,1.1459,0.6977,0.9506,0.7549
180,1.1155,0.7105,0.9386,0.7662
181,1.126,0.7077,0.9298,0.7769
182,1.1095,0.708,0.9579,0.761
183,1.1052,0.7122,0.9033,0.7836
184,1.0997,0.7151,0.9104,0.7744
185,1.0952,0.7112,0.898,0.7815
186,1.0944,0.7165,0.8908,0.7856
187,1.0786,0.7228,0.9063,0.7718
188,1.0793,0.7197,0.8738,0.7872
189,1.0713,0.7243,0.8761,0.7805
190,1.0468,0.7297,0.8829,0.7795
191,1.0421,0.7262,0.9299,0.7579
192,1.0379,0.7305,0.863,0.7846
193,1.0325,0.73,0.8681,0.7841
194,1.0181,0.7309,0.8635,0.7872
195,1.03,0.7369,0.8547,0.7882
196,1.0124,0.738,0.845,0.7882
197,1.007,0.7392,0.8244,0.7959
198,1.0088,0.7366,0.8241,0.8056
199,1.0006,0.7452,0.8393,0.8021
200,0.9926,0.7442,0.8144,0.8031
201,0.9941,0.7422,0.8046,0.8046
202,0.9848,0.7463,0.8208,0.8005
203,0.9761,0.7517,0.8189,0.7938
204,0.972,0.7498,0.8083,0.8062
205,0.9695,0.748,0.8167,0.8082
206,0.9591,0.7598,0.7825,0.8097
207,0.9442,0.7589,0.783,0.8154
208,0.9505,0.7554,0.7757,0.8154
209,0.9559,0.7575,0.7693,0.8169
210,0.9351,0.7595,0.789,0.8092
211,0.9297,0.7648,0.7805,0.8179
212,0.9162,0.7637,0.7686,0.8118
213,0.92,0.7665,0.7626,0.819
214,0.908,0.7685,0.7441,0.8226
215,0.9043,0.7683,0.7608,0.8174
216,0.8962,0.7735,0.7548,0.8246
217,0.8955,0.7745,0.7512,0.8149
218,0.8905,0.7662,0.7456,0.8221
219,0.8728,0.7772,0.7321,0.8303
220,0.8764,0.7743,0.7136,0.8379
221,0.8655,0.7814,0.7248,0.8262
222,0.8737,0.7794,0.7223,0.8344
223,0.8638,0.7826,0.7305,0.8318
224,0.8483,0.7811,0.7088,0.8369
225,0.8517,0.7828,0.7152,0.8323
226,0.8443,0.7854,0.7124,0.8318
227,0.843,0.7843,0.7047,0.8313
228,0.8364,0.7915,0.7157,0.8333
229,0.8313,0.7909,0.7071,0.8349
230,0.8249,0.7952,0.7046,0.8318
231,0.8176,0.7931,0.6862,0.8395
232,0.8224,0.7971,0.6987,0.8338
