Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,7.6340689378626205,0.06675237341772151,7.599635601043701,0.0
2,7.599634366876939,0.05170036764705883,7.591908931732178,0.06946856547412296
3,7.5819023637210625,0.07249685871183917,7.563975652058919,0.10420284821118443
4,7.464221982394948,0.1838235294117647,7.293540318806966,0.38207711010767625
5,7.072067372939166,0.453014473194341,6.9350666999816895,0.3126085446335533
6,6.743540651658002,0.8048096612062546,6.7139058113098145,0.798888502952414
7,6.461453942691579,1.0553855640357408,6.517855962117513,1.076762764848906
8,6.208778717938592,1.8522692898361874,6.330403804779053,1.667245571378951
9,5.9684842334074135,2.5372446249069247,6.191512266794841,1.9798541160125045
10,5.7523862894843605,3.4331661857781084,6.0249091784159345,2.6398054880166724
11,5.533006836386288,4.80231699087863,5.897566318511963,3.2997568600208407
12,5.31578644584207,5.898713817014148,5.755768775939941,3.473428273706148
13,5.071032103370218,7.680667698250186,5.622554302215576,4.93226814866273
14,4.825078319100773,10.28342854151154,5.49599043528239,5.765890934352206
15,4.5663158472846535,12.507562360387192,5.3745724360148115,6.147968044459882
